year,area_km2,eez_km2,cum_km2,cum_pct,score
1990,NA,NA,NA,0,0
2004,891.1904278871355,158344.38042969652,891.1904278871355,0.5628178439100439,2.814089219550219
2018,NA,NA,NA,0.5628178439100439,2.814089219550219
