years,taxon,usd2010
1968,argentine shortfin squid,1.458
1969,argentine shortfin squid,1.512
1970,argentine shortfin squid,1.566
1971,argentine shortfin squid,1.622
1972,argentine shortfin squid,1.678
1973,argentine shortfin squid,1.735
1974,argentine shortfin squid,1.794
1975,argentine shortfin squid,1.853
1976,argentine shortfin squid,1.913
1977,argentine shortfin squid,1.975
1978,argentine shortfin squid,2.037
1979,argentine shortfin squid,90.174
1980,argentine shortfin squid,18.331
1981,argentine shortfin squid,0.108
1982,argentine shortfin squid,25.501
1983,argentine shortfin squid,94.392
1984,argentine shortfin squid,5.833
1985,argentine shortfin squid,28.936
1986,argentine shortfin squid,29.084
1987,argentine shortfin squid,6.798
1988,argentine shortfin squid,3.691
1989,argentine shortfin squid,322.182
1990,argentine shortfin squid,237.322
1991,argentine shortfin squid,165.407
1992,argentine shortfin squid,106.438
1993,argentine shortfin squid,60.415
1994,argentine shortfin squid,27.337
1995,argentine shortfin squid,7.206
1996,argentine shortfin squid,0.02
1997,argentine shortfin squid,0.01
1998,argentine shortfin squid,0.18
1999,argentine shortfin squid,0.564
2000,argentine shortfin squid,14.023
2001,argentine shortfin squid,225.596
2002,argentine shortfin squid,6843677.168
2003,argentine shortfin squid,1013.582
2004,argentine shortfin squid,25117.832
2005,argentine shortfin squid,203047.134
2006,argentine shortfin squid,84976.269
2007,argentine shortfin squid,118459.567
2008,argentine shortfin squid,151252.076
2009,argentine shortfin squid,1376.07
2010,argentine shortfin squid,2108.171
2011,argentine shortfin squid,5460.505
2012,argentine shortfin squid,6597.355
2013,argentine shortfin squid,3034064850.382
2014,argentine shortfin squid,5475.455
2015,argentine shortfin squid,57406519923.016
2016,argentine shortfin squid,4451.291
1950,argentine hake,114090679.863
1951,argentine hake,106689577.743
1952,argentine hake,239934580.285
1953,argentine hake,52089983.539
1954,argentine hake,179145180.168
1955,argentine hake,184770785.05
1956,argentine hake,193712695.479
1957,argentine hake,135070368.094
1958,argentine hake,183211585.375
1959,argentine hake,569022579.483
1960,argentine hake,438579180.619
1961,argentine hake,428343412.979
1962,argentine hake,358461613.149
1963,argentine hake,2869548947.677
1964,argentine hake,1745526860.594
1965,argentine hake,900528156.768
1966,argentine hake,415198114.503
1967,argentine hake,11951968222.313
1968,argentine hake,504801528.521
1969,argentine hake,63933485.088
1970,argentine hake,274916127.221
1971,argentine hake,330293506.16
1972,argentine hake,525027951.075
1973,argentine hake,766207980.054
1974,argentine hake,686899436.125
1975,argentine hake,46242030.229
1976,argentine hake,1528383320.415
1977,argentine hake,1014786778.985
1978,argentine hake,290580392.951
1979,argentine hake,390288590.625
1980,argentine hake,12924999.52
1981,argentine hake,14356472.362
1982,argentine hake,45504786.911
1983,argentine hake,62812752.501
1984,argentine hake,34765488.693
1985,argentine hake,70086486.269
1986,argentine hake,68430303.95
1987,argentine hake,70684435.361
1988,argentine hake,120343937.543
1989,argentine hake,307857339.987
1990,argentine hake,214381869.666
1991,argentine hake,137978989.942
1992,argentine hake,78076193.192
1993,argentine hake,35204629.874
1994,argentine hake,9630214.754
1995,argentine hake,71749.565
1996,argentine hake,19247.331
1997,argentine hake,51236.087
1998,argentine hake,96621.779
1999,argentine hake,157212.68
2000,argentine hake,333697.269
2001,argentine hake,7137682.174
2002,argentine hake,20626320.866
2003,argentine hake,9657017.751
2004,argentine hake,2153585.272
2005,argentine hake,2752121.629
2006,argentine hake,4076976.392
2007,argentine hake,4188692.951
2008,argentine hake,5297638.183
2009,argentine hake,8147442.293
2010,argentine hake,4684406.697
2011,argentine hake,3375171.628
2012,argentine hake,3995717.485
2013,argentine hake,2975339.7
2014,argentine hake,4338479.684
2015,argentine hake,3532784.104
2016,argentine hake,3532732.954
1950,skipjack tuna,1.764
1951,skipjack tuna,2.457
1952,skipjack tuna,2.697
1953,skipjack tuna,2.904
1954,skipjack tuna,1.624
1955,skipjack tuna,1.537
1956,skipjack tuna,3.206
1957,skipjack tuna,90693.029
1958,skipjack tuna,125.968
1959,skipjack tuna,3.8
1960,skipjack tuna,248527.244
1961,skipjack tuna,161765.28
1962,skipjack tuna,243.621
1963,skipjack tuna,272.318
1964,skipjack tuna,389.693
1965,skipjack tuna,500.304
1966,skipjack tuna,763.521
1967,skipjack tuna,2079592.845
1968,skipjack tuna,656947.053
1969,skipjack tuna,213106.978
1970,skipjack tuna,164875.851
1971,skipjack tuna,26044.157
1972,skipjack tuna,4411.531
1973,skipjack tuna,408755.971
1974,skipjack tuna,18211.938
1975,skipjack tuna,4389.441
1976,skipjack tuna,20208.745
1977,skipjack tuna,49398.273
1978,skipjack tuna,495143.504
1979,skipjack tuna,4549645.607
1980,skipjack tuna,37592960.158
1981,skipjack tuna,195921534.373
1982,skipjack tuna,337982618.341
1983,skipjack tuna,259811458.274
1984,skipjack tuna,186527558.718
1985,skipjack tuna,628199475.536
1986,skipjack tuna,561561756.18
1987,skipjack tuna,291097293.203
1988,skipjack tuna,319744540.191
1989,skipjack tuna,452011150.065
1990,skipjack tuna,415435431.827
1991,skipjack tuna,420291433.677
1992,skipjack tuna,343051789.467
1993,skipjack tuna,287919114.517
1994,skipjack tuna,413609776.136
1995,skipjack tuna,265720102.521
1996,skipjack tuna,490947726.563
1997,skipjack tuna,701690491.898
1998,skipjack tuna,557447210.116
1999,skipjack tuna,528031840.387
2000,skipjack tuna,631970157.36
2001,skipjack tuna,590527467.321
2002,skipjack tuna,340930367.091
2003,skipjack tuna,419571593.4
2004,skipjack tuna,532737256.397
2005,skipjack tuna,405821345.534
2006,skipjack tuna,548655839.693
2007,skipjack tuna,592164633.614
2008,skipjack tuna,413797747.09
2009,skipjack tuna,546176882.88
2010,skipjack tuna,517994672.097
2011,skipjack tuna,1774707143.732
2012,skipjack tuna,1554127159.77
2013,skipjack tuna,2881118695.301
2014,skipjack tuna,1535608890.277
2015,skipjack tuna,691042050.732
2016,skipjack tuna,574987639.872
1950,argentine croaker,9860889.224
1951,argentine croaker,9106440.407
1952,argentine croaker,14790235.457
1953,argentine croaker,6568210.311
1954,argentine croaker,12595243.215
1955,argentine croaker,13105040.509
1956,argentine croaker,13630816.8
1957,argentine croaker,11406577.776
1958,argentine croaker,13450585.418
1959,argentine croaker,27299323.862
1960,argentine croaker,26489006.635
1961,argentine croaker,31273562.125
1962,argentine croaker,39538267.072
1963,argentine croaker,135096289.636
1964,argentine croaker,40301109.49
1965,argentine croaker,86945196.837
1966,argentine croaker,115098591.498
1967,argentine croaker,51879609.202
1968,argentine croaker,79590074.752
1969,argentine croaker,72955944.24
1970,argentine croaker,146327158.02
1971,argentine croaker,162394568.574
1972,argentine croaker,147058770.021
1973,argentine croaker,234954659.033
1974,argentine croaker,261839614.992
1975,argentine croaker,191072997.167
1976,argentine croaker,209342174.888
1977,argentine croaker,220652083.417
1978,argentine croaker,257550367.41
1979,argentine croaker,254482244.152
1980,argentine croaker,120279196.646
1981,argentine croaker,284070282.387
1982,argentine croaker,203749293.565
1983,argentine croaker,266398234.879
1984,argentine croaker,388269461.247
1985,argentine croaker,284913849.274
1986,argentine croaker,212431000.904
1987,argentine croaker,278371432.43
1988,argentine croaker,202192364.004
1989,argentine croaker,140861686.529
1990,argentine croaker,107308548.814
1991,argentine croaker,116926026.533
1992,argentine croaker,105227900.447
1993,argentine croaker,166407611.625
1994,argentine croaker,91449599.142
1995,argentine croaker,125865954.598
1996,argentine croaker,49994562.921
1997,argentine croaker,35926416.986
1998,argentine croaker,33316104.732
1999,argentine croaker,49623488.298
2000,argentine croaker,96578529.82
2001,argentine croaker,216122688.782
2002,argentine croaker,249407192.152
2003,argentine croaker,157353425.441
2004,argentine croaker,193993427.063
2005,argentine croaker,154580081.644
2006,argentine croaker,197967875.836
2007,argentine croaker,159496606.903
2008,argentine croaker,157464305.947
2009,argentine croaker,176135122.708
2010,argentine croaker,203341180.569
2011,argentine croaker,5005374228.997
2012,argentine croaker,847596480.833
2013,argentine croaker,1270748845.79
2014,argentine croaker,2038427107.675
2015,argentine croaker,1328739575.034
2016,argentine croaker,1567069273.797
1950,atlantic seabob,46087806.279
1951,atlantic seabob,48904346.894
1952,atlantic seabob,40138022.82
1953,atlantic seabob,65232634.395
1954,atlantic seabob,55787658.908
1955,atlantic seabob,67283886.284
1956,atlantic seabob,72574487.809
1957,atlantic seabob,62332978.147
1958,atlantic seabob,59240311.001
1959,atlantic seabob,74927998.514
1960,atlantic seabob,85602970.94
1961,atlantic seabob,153280086.49
1962,atlantic seabob,311917411.423
1963,atlantic seabob,286010903.567
1964,atlantic seabob,322946637.325
1965,atlantic seabob,361563617.293
1966,atlantic seabob,406324817.874
1967,atlantic seabob,318944114.25
1968,atlantic seabob,456870120.491
1969,atlantic seabob,320513869.381
1970,atlantic seabob,390372860.895
1971,atlantic seabob,229048354.724
1972,atlantic seabob,503690593.789
1973,atlantic seabob,532590884.219
1974,atlantic seabob,493663471.602
1975,atlantic seabob,349059086.497
1976,atlantic seabob,376089278.074
1977,atlantic seabob,555112673.477
1978,atlantic seabob,512248998.211
1979,atlantic seabob,707047470.58
1980,atlantic seabob,522335816.425
1981,atlantic seabob,570684876.559
1982,atlantic seabob,495144725.202
