years,usd2010,pct_foreign,pct_unreported,dif_msy,pct_msy,pct_avg,score
1950,1162182068.18,1.1781888892409231e-4,90.86092641436714,64104763101.909996,72.75492397441911,61.82516323130268,38.17483676869732
1951,1193686523.5,2.336092757755739,90.01292884412798,64073258646.59,72.71916837466722,62.10130534517708,37.89869465482292
1952,1140035067.57,8.998371697215465,78.33647944300314,64126910102.52,72.78005944435418,61.13500589465623,38.86499410534377
1953,1223113877.3400002,14.837478903655066,77.68983856014951,64043831292.75,72.68577015606694,62.11692558640108,37.88307441359892
1954,1318481032.99,25.196482352242665,74.39650672225025,63948464137.1,72.57753435854995,63.465118430028554,36.534881569971446
1955,2564086838.37,18.96786956911282,81.12413430281183,62702858331.71999,71.16384914566727,62.716710261785295,37.283289738214705
1956,2276615476.4100003,27.810463760532116,72.19525873332941,62990329693.67999,71.49011128395757,62.895211269146856,37.104788730853144
1957,2827581280.74,32.53507584664607,68.83489048882873,62439363889.35,70.86479932168095,62.792872860103536,37.207127139896464
1958,4834304303.29,52.47354885986215,77.18476998413897,60432640866.799995,68.58729334741753,67.08403977725075,32.91596022274925
1959,10611289032.15,44.75467255267409,84.7432019692102,54655656137.939995,62.030774542700705,63.118039629997284,36.881960370002716
1960,12662462022.01,36.943573780677774,86.56623189146087,52604483148.079994,59.70282061674352,60.52365350447385,39.47634649552615
1961,11401128735.83,39.392305930458555,70.5549230460597,53865816434.259995,61.1343555433533,58.670059121315624,41.329940878684376
1962,10889645335.75,30.66087582247835,67.47003725878437,54377299834.34,61.7148574294275,56.65509707390904,43.34490292609096
1963,13285968037.52,41.71918375433361,63.2795089053167,51980977132.56999,58.995180020928395,56.396846544487104,43.603153455512896
1964,17899349912.48,54.1886675842894,59.94672203744481,47367595257.61,53.75927817313455,55.08264482822757,44.91735517177243
1965,21190546401.649998,57.90041779954321,65.7048393942587,44076398768.44,50.023974604914926,54.735436201709334,45.264563798290666
1966,21372227381.31,59.50280255820057,72.39254321957179,43894717788.78,49.817777978905276,56.26973594289764,43.73026405710236
1967,35824570178.33,67.68168934582017,75.9892786061028,29442374991.759995,33.41526667443552,48.78335359504591,51.21664640495409
1968,32601177621.219997,55.49262771977468,67.90161826605697,32665767548.87,37.073616991703275,46.923019392188294,53.076980607811706
1969,40783827061.7,55.77532706396626,64.03908281132588,24483118108.39,27.786818177627204,40.63497288163475,59.36502711836525
1970,56848074690.729996,61.436458944103734,53.26693206507691,8418870479.360001,9.554895019307363,28.673615213420543,71.32638478657945
1971,70753729665.04,67.14963871748868,52.30028694280152,5486784494.949997,6.227159566279012,27.626280871825447,72.37371912817456
1972,73960119503.06,66.93132084552346,48.986454229202565,8693174332.970001,9.866212853577485,29.1032827270917,70.8967172729083
1973,64920622437.75,62.68762974015798,48.038624524293255,346322732.33999634,0.39305478786269477,22.381083725607862,77.61891627439213
1974,67484300553.86,64.11797564730259,47.09472265452329,2217355383.7700043,2.516560619902657,23.752476032306767,76.24752396769324
1975,87598670326.33,73.47737678647093,49.030023117394734,22331725156.240005,25.345120820069848,39.70855247281504,60.29144752718496
1976,78348460411.16,72.77144464243275,50.18300738751923,13081515241.070007,14.846707183383948,33.498914716020764,66.50108528397924
1977,99395539165.26,78.52255155364453,48.607577003572686,34128593995.17,38.733834138425024,48.66632619449846,51.33367380550154
1978,93777229483.18,77.95264087709762,45.9768304972086,28510284313.089996,32.35740165501265,44.20033526786884,55.79966473213116
1979,105690559133.25,85.95835298195266,74.46393075237143,40423613963.16,45.8782907595418,59.61143120258989,40.38856879741011
1980,130826306035.67,87.81931616586878,61.89810898223873,65559360865.58,74.40580207751624,74.58696627613125,25.41303372386875
1981,127549622427.01,91.36589816906753,69.74620975749086,62282677256.92,70.68696972714474,74.63460342159853,25.365396578401473
1982,117470133847.01,90.91236899866357,64.26357077113477,52203188676.92,59.24737632012884,66.58361374603697,33.416386253963026
1983,82334075060.40001,79.21556955179987,63.0706715240549,17067129890.310013,19.370132226477946,40.07932755105772,59.92067244894228
1984,103022019288.41,82.95562397936195,68.81944072942102,37755074118.32001,42.84966380361038,56.064811223922824,43.935188776077176
1985,95658571299.6,79.94073354563447,69.0838952575558,30391626129.51001,34.49260774891764,50.50049040998864,49.49950959001136
1986,100611403774.13,79.91769582422256,77.56286951558593,35344458604.04001,40.11376494077267,55.5643720324253,44.4356279675747
1987,110976115337.09999,65.74835375114253,74.08754182936651,45709170167.009995,51.87706871559305,59.09342034545764,40.90657965454236
1988,115460548840.84,71.91135894307614,66.78232380073598,50193603670.75,56.96662217224128,61.91870985210719,38.08129014789281
1989,126765371067.13,77.78789701379574,59.06288030069433,61498425897.04001,69.79689315086607,69.24829135341766,30.751708646582344
1990,153144648528.7,85.44340219792282,56.60342455725106,87877703358.61002,99.7357344061651,88.25080599473384,11.749194005266162
1991,99980259891.27,81.07886787884466,50.59653995132495,34713314721.18001,39.39745583997465,49.97355507001871,50.02644492998129
1992,126904096502.04,70.8240605099516,57.09900659828202,61637151331.95,69.95433790195499,67.55721616281971,32.442783837180286
1993,141018864573.62,76.40751826325283,74.34246618467068,75751919403.53,85.97372286297303,81.73423060736852,18.265769392631483
1994,153377494394.84,80.22447866916724,78.98881805488395,88110549224.75,100,91.84265934481024,8.157340655189756
1995,108028549143.19,81.19780036895287,64.91026207740232,42761603973.100006,48.53176418640277,58.340671001112696,41.659328998887304
1996,92754331884.53,62.66965295189005,44.837913768571305,27487386714.440002,31.196476422279385,40.21939919745991,59.78060080254009
1997,119194729875.26001,70.04229401315894,60.21343960170577,53927784705.17001,61.20468568140743,62.7739581318174,37.2260418681826
1998,104410775344.84,69.40873750434443,57.1173414366403,39143830174.75,44.42581565903417,51.96070518361745,48.03929481638255
1999,127568966559.79001,76.10855754593955,68.37381572180354,62302021389.70001,70.7089241162051,71.32182912327167,28.67817087672833
2000,65266945170.09,57.38111388525259,69.18683095657398,0,0,25.313588968365316,74.68641103163469
2001,97668447474.97,65.31515276858613,75.64803924825846,32401502304.880005,36.773692355759955,50.256853816824886,49.743146183175114
2002,117465457436.78001,81.18785215103445,85.6894017908225,52198512266.69002,59.242068885013374,68.92069211937942,31.079307880620576
2003,98604821298.23999,75.82280033011578,82.03289501000677,33337876128.149994,37.836418478237654,54.272990154967104,45.727009845032896
2004,76332847269.05,51.160563067399565,59.465228817665874,11065902098.960007,12.559111475668372,29.66062526241411,70.33937473758589
2005,129601400489.58,76.78637451788391,74.01008024930196,64334455319.490005,73.01561037304106,73.9686571772618,26.031342822738196
2006,65290768700.87,59.97416679994277,63.78035126039416,23823530.78000641,0.027038227533048274,24.767126548587218,75.23287345141279
2007,77145523237.12,68.58488630568314,65.33975238324119,11878578067.029999,13.481448216524496,34.873796667699565,65.12620333230043
2008,62764637870.54,46.69063360436625,51.1495310618426,2502307299.5499954,2.839963343285011,21.272010939212777,78.72798906078722
2009,75914125659.81,57.493935150806806,58.0343867154674,10647180489.720001,12.083888459895377,30.355997449192067,69.64400255080793
2010,120262254762.99,80.57674889698949,73.91033084053868,54995309592.90001,62.4162601150283,68.3471720165226,31.652827983477394
2011,36734128092.1,32.74638135883771,14.188546891387618,28532817077.989998,32.38297494345343,28.81677061611713,71.18322938388287
2012,70561591729.87999,41.897182285749224,55.917377265564575,5294646559.789993,6.009094945356148,23.16836887747645,76.83163112252355
2013,26667752082.29,7.525881824728704,16.999367746637287,38599193087.799995,43.80768639784803,31.189661752982015,68.81033824701798
2014,30588079816.079998,8.821107141632076,26.266190920772985,34678865354.009995,39.358357948209,30.63247438140641,69.36752561859359
2015,38558516988.38,22.246115309019796,24.632851254328067,26708428181.71,30.31240687602896,27.56323743828695,72.43676256171305
2016,58846170480.64,17.132020138158722,35.980507795415214,6420774689.449997,7.287180418172243,14.994813837618134,85.00518616238186
